CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0203-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO EN CIENCIA Y TECNOLOGIA DE OCCIDENTE,"8 CALLE LOTE NO 87 ZONA 1 RESIDENCIALES ""QUIN LOS APOSENTOS"" AVE LOS APOSENTOS Y",78404743,SANDRA NINETH LOPEZ GUTIERREZ,SANDRA NOEMI ORTIZ ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0229-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGÉLICO AMÉRICA LATINA,6 AVE 3-48 ZONA 5,77282600,JULIO ANTONIO MUTZUTZ CATU,AXEL EDUARDO ESTRADA CHÁVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0230-46,04-027,CHIMALTENANGO,CHIMALTENANGO,TECNOLÓGICO PREUNIVERSITARIO,3 CALLE 7-54 ZONA 3,78394519,JULIO ANTONIO MUTZUTZ CATU,EDNA YESENIA GONZALEZ ROCA DE MONTENEGRO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0232-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CRISTIANO CATÓLICO JUAN PABLO II,2 CALLE 3 91 ZONA 7 ALDEA BUENA VIS,78494357,SANDRA NINETH LOPEZ GUTIERREZ,JUAN JOSE SAPUT MARTINEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0238-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"INSTITUTO MIXTO TECNOLÓGICO CENTRAL ""CIUDAD DE LOS ESCUDOS""",2 CALLE 2-45 ZONA 4,78494236,JULIO ANTONIO MUTZUTZ CATU,EDVIN AMILCAR PER SISIMIT,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0242-46,04-027,CHIMALTENANGO,CHIMALTENANGO,COLEGIO NIMALÄJ KAQCHIKEL AMAQ TIJOBÄL,DIAGONAL 5 13-142 ZONA 5 LA ALAMEDA,77283439,JULIO ANTONIO MUTZUTZ CATU,MAGALLY ALCIBIA DÍAZ HERRERA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0244-46,04-003,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA PEM. AURA MARINA SOCOY QUELEX,ALDEA BOLA DE ORO,41444505,AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES,AURA MARINA SOCOY QUELEX,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0246-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CRISTIANO CATÓLICO JUAN PABLO II,2 CALLE 3 91 ZONA 7 ALDEA BUENA VIS,78494357,SANDRA NINETH LOPEZ GUTIERREZ,JUAN JOSÉ SAPUT MARTINEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0252-46,04-029,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- SABIDURÍA,1 CALLE 9-120 ZONA 3,58002704,MARCO TULIO AJQUEJAY PICHIYA,MARÍA INES GUERRA,DIVERSIFICADO,MUNICIPAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0253-46,04-028,CHIMALTENANGO,CHIMALTENANGO,"ESCUELA NORMAL BILINGÜE INTERCULTURAL ""RUKUX WAQXAQI QANIL"" (ESENCIA DE LAS OCHO SEMILLAS)",FINCA LA ALAMEDA,78394039,MARILENA HERNANDEZ CABRERA,ELADIO MIZA CHALÍ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0260-46,04-020,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO EVANGÉLICO BILINGÜE ""ESCORBÁN""",1 CALLE 14-274 ALDEA SANISABEL ZONA 6,32608557,SANDRA NINETH LOPEZ GUTIERREZ,LIC. CARLOS HUMBERTO CABRERA OVALLE,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0261-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO CRISTIANO HISPANOAMERICANO,3 AVE 1-64 ZONA 2,78395647,SANDRA NINETH LOPEZ GUTIERREZ,DEAN SALOMÓN ORTIZ ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0262-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO CRISTIANO HISPANOAMERICANO,3 AVE 1-64 ZONA 2,78395647,SANDRA NINETH LOPEZ GUTIERREZ,DEAN SALOMÓN ORTIZ ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0264-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO GABRIEL G&R,3 AVE 2-143 ZONA 7 BUENA VISNORTE,41409698,SANDRA NINETH LOPEZ GUTIERREZ,LIC. RUBÉN ANTONIO GÓMEZ PATZÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,CHIMALTENANGO
04-01-0268-46,04-020,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO MONTE CRISTO,CASERÍO MONTE CRISTO ALDEA SAN MARCOS PACOC,49195136,SANDRA NINETH LOPEZ GUTIERREZ,MARÍA MICAELA ZAMORA ABAJ DE CÁRDENAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0271-46,04-029,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE EDUCACIÓN EXTRAESCOLAR MI ESPECIAL TESORO,8 AVE 1-63 ZONA 6 COLONIA LOS ANONALES,78397564,MARCO TULIO AJQUEJAY PICHIYA,VANESSA KARINA LÓPEZ ALVAREZ DE MARROQUÍN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,CHIMALTENANGO
04-01-0655-46,04-020,CHIMALTENANGO,CHIMALTENANGO,INST. PRIVADO MIXTO DE EDUC. DIVERSIFICADA COLEGIO EN COMPUTACION  E & B,3  CALLE 6-108 ZONA 1 COLONIA LAS MAJADAS,78392471,SANDRA NINETH LOPEZ GUTIERREZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-1031-46,04-027,CHIMALTENANGO,CHIMALTENANGO,COLEGIO SANTA ANA,2 CALLE 5-40 ZONA 4,78391533,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2270-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO PREUNIVERSITARIO,3 CALLE 7-54 ZONA 3,78394519,SANDRA NINETH LOPEZ GUTIERREZ,NA,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2272-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO PREUNIVERSITARIO,3 CALLE 7-54 ZONA 3,78394519,SANDRA NINETH LOPEZ GUTIERREZ,NA,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-2278-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO LICEO INTEGRAL CIENTIFICO EN COMPUTACION,4 AVE 5-80 ZONA 2,78394756,SANDRA NINETH LOPEZ GUTIERREZ,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2287-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO EVANGELICO MIXTO ALPHA Y OMEGA,KM 58 CARRETINTERICANA (INTERIOR 100 METROS),78399790,SANDRA NINETH LOPEZ GUTIERREZ,MARCO TULIO GODOY JORDAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2291-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO EVANGELICO MIXTO AMERICA,6 AVE 2-17 ZONA 4,NA,SANDRA NINETH LOPEZ GUTIERREZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,SABATINO,CHIMALTENANGO
04-01-2295-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""",8 AVE 3-59 ZONA 2,77741100,JULIO ANTONIO MUTZUTZ CATU,LIC. JOSÉ EDWIN VILLARREAL AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2322-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGÉLICO AMÉRICA LATINA,6 AVE 3-48 ZONA 5,77282600,JULIO ANTONIO MUTZUTZ CATU,AXEL EDUARDO ESTRADA CHÁVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2550-46,04-027,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO WASHINGTON,1 CALLE 6-09 ZONA 4,78391054,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2552-46,04-020,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO CON ORIENTACION VOCACIONAL Y OCUPACIONAL POPO WUJ,KM 52.5 AT COLONIA QUIN LAS VICTORIAS,78393245,SANDRA NINETH LOPEZ GUTIERREZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-2556-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO APLICADO EN COMPUTACION,6 CALLE 4-54 ZONA 1 COLONIA LOS APOSENTOS I,NA,SANDRA NINETH LOPEZ GUTIERREZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2614-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO BASICO DE SALUD LIC. CONCEPCION SOLIS IRIARTE,2 CALLE 1-55 ZONA 2,78397229,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-2671-46,25-000,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),CHIMALTENANGO,NA,SONIA HAYDEE REYES MONTERROSO,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,CHIMALTENANGO
04-01-2699-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"LICEO CIENTIFICO TECNOLOGICO ""EN-GADI""",2 CALLE 1-73 ZONA 2,78391176,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-2715-46,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ -ASECSA-,6 CALLE 4-70 ZONA 1 QUIN LOS APOSENTOS,78391332,SANDRA NINETH LOPEZ GUTIERREZ,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-2747-46,04-027,CHIMALTENANGO,CHIMALTENANGO,COLEGIO MIXTO SANTA ANA,2 CALLE 5-52 ZONA 4,78391533,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-2766-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO LICEO INTEGRAL CIENTIFICO EN COMPUTACION,4 AVE 5-80 ZONA 2,78394756,SANDRA NINETH LOPEZ GUTIERREZ,JOSE ALBERTO TAGUAL CHAVAC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2767-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO LICEO INTEGRAL CIENTIFICO EN COMPUTACION,4 AVE 5-80 ZONA 2,78392456,SANDRA NINETH LOPEZ GUTIERREZ,JOSE ALBERTO TAGUAL CHAVAC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-2790-46,04-020,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""MARÍA INMACULADA""",DIAGONAL 1 7-131 ZONA 8 ALDEA BUENA VIS,78391591,SANDRA NINETH LOPEZ GUTIERREZ,MARÍA CARMEN MARCELINA MARTINEZ OLARTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2796-46,04-028,CHIMALTENANGO,CHIMALTENANGO,ESCUELA NORMAL DE EDUCACION BILINGUE INTERCULTURAL RUK U X WAQXAQI Q ANIL (ESENCIA DE LAS OCHO SEMILLAS),FINCA LA ALAMEDA,78394039,MARILENA HERNANDEZ CABRERA,NA,DIVERSIFICADO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2827-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""",8 AVE 3-59 ZONA 2,77741100,JULIO ANTONIO MUTZUTZ CATU,LIC. JOSÉ EDWIN VILLARREAL AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-2835-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO EN CIENCIA Y TECNOLOGIA DE OCCIDENTE,"LOTE NO 87 ZONA 1 RESIDENCIALES ""QUIN LOS APOSENTOS"" AVE LOS APOSENTOS 8 CALLE",78404743,SANDRA NINETH LOPEZ GUTIERREZ,SANDRA NOEMI ORTIZ ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2836-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO EN CIENCIA Y TECNOLOGIA DE OCCIDENTE,"LOTE NO 87 ZONA 1 RESIDENCIALES ""QUIN LOS APOSENTOS"" AVE LOS APOSENTOS 8 CALLE",78404743,SANDRA NINETH LOPEZ GUTIERREZ,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-2839-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO EN CIENCIA Y TECNOLOGIA DE OCCIDENTE,"LOTE NO 87 ZONA 1 RESIDENCIALES ""QUIN LOS APOSENTOS"" AVE LOS APOSENTOS 8 CALLE",78396163,SANDRA NINETH LOPEZ GUTIERREZ,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-2870-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO MESOAMERICANO,KM 2.5 CARRETA SAN MARTIN JILOTEPEQUE ALDEA SANISABEL,78397225,SANDRA NINETH LOPEZ GUTIERREZ,NA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2895-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,6 AVE 1 CALLE NO 126 ZONA 5,78491919,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2897-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,6 AVE 1 CALLE NO 126 ZONA 5,78491919,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2900-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,6 AVE 1 CALLE NO 126 ZONA 5,78491919,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-2941-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO TECNOLOGICO BILINGUE CUAUHTEMALLAN DE CHIMALTENANGO,2 CALLE 4-70 ZONA 4,79370528,SANDRA NINETH LOPEZ GUTIERREZ,THELMA DOLORES ECHEVERRÍA MORALES DE LANCERIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-2943-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO TECNOLOGICO BILINGUE CUAUHTEMALLAN DE CHIMALTENANGO,2 CALLE 4-70 ZONA 4,79370528,SANDRA NINETH LOPEZ GUTIERREZ,THELMA DOLORES ECHEVERRÍA MORALES DE LANCERIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-2944-46,04-020,CHIMALTENANGO,CHIMALTENANGO,LICEO TECNOLOGICO BILINGUE CUAUHTEMALLAN DE CHIMALTENANGO,2 CALLE 4-70 ZONA 4,79370528,SANDRA NINETH LOPEZ GUTIERREZ,THELMA DOLORES ECHEVERRÍA MORALES DE LANCERIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2957-46,04-027,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CIENTIFICO INTEGRAL RENACIMIENTO,6 AVE 2-17 ZONA 4,78399859,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2958-46,04-027,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CIENTIFICO INTEGRAL RENACIMIENTO,6 AVE 2-17 ZONA 4,83968442,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-2961-46,04-027,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CIENTIFICO INTEGRAL RENACIMIENTO,6 AVE 2-17 ZONA 4,78399859,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2963-46,04-027,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CIENTIFICO INTEGRAL RENACIMIENTO,6 AVE 2-17 ZONA 4,78396844,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-2964-46,04-027,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CIENTIFICO INTEGRAL RENACIMIENTO(MADUREZ),6 AVE 2-17 ZONA 4,78396844,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-2983-46,04-028,CHIMALTENANGO,CHIMALTENANGO,ESCUELA NORMAL BILINGUE INTERCULTURAL,FINCA LA ALAMEDA,NA,MARILENA HERNANDEZ CABRERA,NA,DIVERSIFICADO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-2994-46,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO TECNOLOGICO DE ESTUDIOS SUPERIORES MILENIUM,2 CALLE 3-40 ZONA 3,78392709,SANDRA NINETH LOPEZ GUTIERREZ,NA,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-2996-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"LICEO CIENTIFICO TECNOLOGICO ""EN-GADI""",2 CALLE 1-73 ZONA 2,78391176,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-3018-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH. """,8 AVE 3-59 ZONA 2,77741100,JULIO ANTONIO MUTZUTZ CATU,LIC. JOSÉ EDWIN VILLARREAL AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-3036-46,04-027,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CATOLICO EL SAGRADO CORAZÓN DE JESÚS,2 CALLE 3-68 ZONA 1,50203929,JULIO ANTONIO MUTZUTZ CATU,MARGARITO GUANTÁ COLÓ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-3066-46,04-027,CHIMALTENANGO,CHIMALTENANGO,TECNOLOGICO PRE-UNIVERSITARIO,3 CALLE 7-54 ZONA 3,78394519,JULIO ANTONIO MUTZUTZ CATU,EDNA YESENIA GONZÁLEZ ROCA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-3067-46,04-027,CHIMALTENANGO,CHIMALTENANGO,TECNOLOGICO PREUNIVERSITARIO,3 CALLE 7-54 ZONA 3,78394519,JULIO ANTONIO MUTZUTZ CATU,EDNA YESENIA GONZÁLEZ ROCA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-3068-46,04-027,CHIMALTENANGO,CHIMALTENANGO,TECNOLOGICO PREUNIVERSITARIO,3 CALLE 7-54 ZONA 3,78394519,JULIO ANTONIO MUTZUTZ CATU,EDNA YESENIA GONZÁLEZ ROCA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-3069-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO PRIVADO DE BACHILLERATO,6 AVE 7-07 ZONA 1,8392658,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-3071-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO PRIVADO DE BACHILLERATO,6 AVE 7-07 ZONA 1,8392658,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,MATUTINA,FIN DE SEMANA,CHIMALTENANGO
04-01-3076-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO TECNICO INDUSTRIAL,9 CALLE DE LOS CL AVE ES 3-76 ZONA 1 QUIN LOS APOSENTOS,78396913,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-3083-46,04-020,CHIMALTENANGO,CHIMALTENANGO,COLEGIO SPENCER W. KIMBALL,KM 2.5 CARRETA SAN MARTIN JILOTEPEQUE,52025193,SANDRA NINETH LOPEZ GUTIERREZ,NA,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-3086-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"LICEO CIENTIFICO TECNOLOGICO ""EN-GADI""",2 CALLE 1-73 ZONA 2,78391176,JULIO ANTONIO MUTZUTZ CATU,NA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-3096-46,04-003,CHIMALTENANGO,CHIMALTENANGO,ESCUELA NACIONAL DE FORMACION SECRETARIAL ADSCRITA A LA ESCUELA NACIONAL DE CIENCIAS COMERCIALES LEONIDAS MENCOS AVILA,1 CALLE 9-30 ZONA 3,78396809,AZUCENA CONCEPCION MARROQUIN ACEITUNO DE REYES,NA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
